TransectID,veg_type,rate_m_yr,group
246,Degraded Vegetation,0.2916235666435767,Degraded Vegetation
247,Degraded Vegetation,-0.1878002579660089,Degraded Vegetation
248,Degraded Vegetation,-0.2292045075603718,Degraded Vegetation
249,Degraded Vegetation,-0.3328959788849016,Degraded Vegetation
250,Degraded Vegetation,0.0032374889826138,Degraded Vegetation
251,Degraded Vegetation,-0.025571895025462,Degraded Vegetation
252,Degraded Vegetation,-0.2641804761399682,Degraded Vegetation
253,Degraded Vegetation,0.2182014637438825,Degraded Vegetation
254,Degraded Vegetation,0.3738536306688416,Degraded Vegetation
255,Degraded Vegetation,0.5136581277392331,Degraded Vegetation
256,Degraded Vegetation,0.1357803682877207,Degraded Vegetation
257,Healthy Vegetation,0.0919814768053638,Healthy Vegetation
258,Degraded Vegetation,-0.4224191603379046,Degraded Vegetation
259,Degraded Vegetation,-0.4675041724929574,Degraded Vegetation
260,Healthy Vegetation,0.294338483304961,Healthy Vegetation
261,Degraded Vegetation,0.680695037200183,Degraded Vegetation
262,Degraded Vegetation,-0.5740108957610255,Degraded Vegetation
263,Degraded Vegetation,0.3777663537283701,Degraded Vegetation
264,Degraded Vegetation,-0.6805014709178161,Degraded Vegetation
265,Degraded Vegetation,-0.1611306647967501,Degraded Vegetation
266,Degraded Vegetation,-0.5120465523633473,Degraded Vegetation
267,Degraded Vegetation,0.0853405032906938,Degraded Vegetation
268,Degraded Vegetation,-0.0788334713682329,Degraded Vegetation
269,Degraded Vegetation,-0.4217530458050528,Degraded Vegetation
270,Healthy Vegetation,-0.0725818786121671,Healthy Vegetation
271,Healthy Vegetation,-0.1127348150284544,Healthy Vegetation
272,Healthy Vegetation,0.0032859755835428,Healthy Vegetation
273,Healthy Vegetation,0.333887180463255,Healthy Vegetation
274,Healthy Vegetation,0.317553133501682,Healthy Vegetation
275,Healthy Vegetation,-0.1273629758054009,Healthy Vegetation
276,Healthy Vegetation,-0.364694335864518,Healthy Vegetation
277,Degraded Vegetation,0.1123127648834996,Degraded Vegetation
278,Degraded Vegetation,-0.6066791406654399,Degraded Vegetation
279,Healthy Vegetation,-0.2907603127087623,Healthy Vegetation
280,Degraded Vegetation,-0.0791440817702061,Degraded Vegetation
281,Degraded Vegetation,0.140199791991446,Degraded Vegetation
282,Degraded Vegetation,-0.3835211131980293,Degraded Vegetation
283,Degraded Vegetation,-0.2447020453028825,Degraded Vegetation
284,Degraded Vegetation,0.3458459115512714,Degraded Vegetation
285,Degraded Vegetation,0.2869834722377574,Degraded Vegetation
286,Degraded Vegetation,-0.7119456016528584,Degraded Vegetation
287,Built-up,0.2803269398562531,Built-up
288,Degraded Vegetation,-5.241056947192558,Degraded Vegetation
290,Degraded Vegetation,-0.2480720027208529,Degraded Vegetation
291,Degraded Vegetation,0.2196783847688473,Degraded Vegetation
293,Degraded Vegetation,-0.0070558208200939,Degraded Vegetation
294,Degraded Vegetation,-0.1940389375426507,Degraded Vegetation
295,Degraded Vegetation,-0.4202478557036148,Degraded Vegetation
296,Healthy Vegetation,-0.3383981949612083,Healthy Vegetation
297,Degraded Vegetation,-0.9138199917128974,Degraded Vegetation
298,Built-up,-0.9613046635510846,Built-up
300,Degraded Vegetation,-0.3861013593057514,Degraded Vegetation
301,Built-up,-0.3367226662025029,Built-up
302,Built-up,-0.3936300501827605,Built-up
303,Built-up,-0.4526431388989511,Built-up
304,Built-up,-1.7492607772522497,Built-up
305,Built-up,-1.8107348258255955,Built-up
